"RbId";"tBeg";"tEnd";"tVol_m3";"maxIntens_m3_s";"tBSB_g";"outlet_id";"upstream_link_id";"gerris_id";"surface_water";"water_body_km";"y-coordinate";"x-coordinate";"lat_grad";"lat_min";"lat_s";"lon_grad";"lon_min";"lon_s";"comment"
"R1724";2011-06-06 20:00:00;2011-06-08 13:45:00;2404.107;0.418;218.85;"09152006";"09154903.1";"R1724";"Neukoellner_Schifffahrtskanal";3;28481.2;15802.3;52;28;9;13;27;21;NA
"R1725";2011-06-06 20:15:00;2011-06-08 11:30:00;5461.65;2.07;674.62;"09154008";"09154007.1";"R1725";"Neukoellner_Schifffahrtskanal";3;28463;15754;52;28;7;13;27;20;NA
"R1722";2011-06-06 20:00:00;2011-06-08 13:00:00;1642.374;0.464;173.76;"11151002";"11151004.2";"R1722";"Neukoellner_Schifffahrtskanal";1.4;28207.2;17143.5;52;28;52;13;27;6;NA
"R1723";2011-06-06 20:45:00;2011-06-08 14:00:00;4443.984;2.12;412.13;"11151003";"11151005.1";"R1723";"Neukoellner_Schifffahrtskanal";1.4;28183.4;17122.9;52;28;52;13;27;5;NA
"R1716";NA;NA;0;0;0;"12161052";"12161051.2";"R1716";"Neukoellner_Schifffahrtskanal";0.6;27548.8;17696.1;52;29;10;13;26;31;NA
"R1718";2011-06-08 11:00:00;2011-06-08 11:15:00;254.7;0.178;22.79;"12164004";"12164003.2";"R1718";"Neukoellner_Schifffahrtskanal";0.8;27712.2;17530.7;52;29;5;13;26;40;NA
"R1719";2011-06-08 11:00:00;2011-06-08 11:15:00;173.79;0.104;8.75;"12164007";"12164701.1";"R1719";"Neukoellner_Schifffahrtskanal";0.8;27685.9;17549.3;52;29;5;13;26;38;NA
"R1720";NA;NA;0;0;0;"12164011";"12164002.2";"R1720";"Neukoellner_Schifffahrtskanal";0.8;27703.1;17569.3;52;29;6;13;26;39;NA
"R1717";2011-06-06 20:45:00;2011-06-08 13:45:00;14890.86;3.11;2197.81;"12164052";"12164051.1";"R1717";"Neukoellner_Schifffahrtskanal";0.8;27661.1;17563.3;52;29;6;13;26;37;NA
"R1721";2011-06-08 11:15:00;2011-06-08 11:30:00;115.551;0.123;8.57;"12166002";"12166E01.1";"R1721";"Neukoellner_Schifffahrtskanal";1;27868.5;17397.1;52;29;0;13;26;48;NA
"R1712";NA;NA;0;0;0;"13161001";"13161E03.1";"R1712";"Landwehrkanal";9.8;27520.7;18356.2;52;29;31;13;26;30;NA
"R1715";2011-06-06 20:00:00;2011-06-08 13:15:00;457.938;0.15;36.52;"13163001";"13163310.2";"R1715";"Neukoellner_Schifffahrtskanal";0.1;27390.5;18036;52;29;21;13;26;23;NA
"R1710";2011-06-06 20:15:00;2011-06-08 11:30:00;1341;0.707;112.85;"13172003";"13172905.1";"R1710";"Landwehrkanal";9.2;27103.6;18249.8;52;29;28;13;26;8;NA
"R1709";NA;NA;0;0;0;"13172005";"13172004.2";"R1709";"Landwehrkanal";9.1;27020;18313.7;52;29;30;13;26;3;NA
"R1711";NA;NA;0;0;0;"13172006";"13172007.2";"R1711";"Landwehrkanal";9.3;27170.7;18236.6;52;29;28;13;26;11;NA
"R155";2011-06-08 11:00:00;2011-06-08 11:15:00;25.29;0.0144;1.44;"14141001";"15145702.1";"R155";"Spree";21.9;28875.5;18951.9;52;29;51;13;27;41;NA
"R1713";NA;NA;0;0;0;"14164001";"14164E04.1";"R1713";"Landwehrkanal";10.2;27816.7;18732.9;52;29;44;13;26;45;NA
"R1714";NA;NA;0;0;0;"14164003";"14164002.2";"R1714";"Landwehrkanal";10.2;27835.9;18724.4;52;29;43;13;26;46;NA
"R1705";NA;NA;0;0;0;"14173002";"14171E02.1";"R1705";"Landwehrkanal";8.5;26458.3;18622.5;52;29;40;13;25;33;NA
"R1706";2011-06-06 20:00:00;2011-06-08 13:00:00;1585.431;0.51;155.29;"14175004_1";"13171331.1";"R1706";"Landwehrkanal";8.7;26604.3;18516;52;29;37;13;25;41;"Wehr, suffix \"_1\" selbst hinzugefügt"
"R1756";2011-06-06 20:00:00;2011-06-08 13:00:00;471.69;0.117;52.69;"14175004_2";"14175001.3";"R1756";"Landwehrkanal";8.7;26604.3;18516;52;29;37;13;25;41;"suffix \"_2\" selbst hinzugefügt"
"R1708";NA;NA;0;0;0;"14175005";"14175953.1";"R1708";"Landwehrkanal";8.8;26722;18478.1;52;29;35;13;25;47;NA
